src_ip,dst_ip,protocol,port,flags,size,timestamp
10.193.15.238,140.82.114.26,TCP,443,A,66,1783730923.5981855
140.82.114.26,10.193.15.238,TCP,54200,A,66,1783730923.8277457
10.193.15.238,10.193.15.237,UDP,1716,,1514,1783730924.3499398
10.193.15.237,10.193.15.238,ICMP,,,590,1783730924.3534234
10.193.15.238,8.8.8.8,ICMP,,,98,1783730924.418611
8.8.8.8,10.193.15.238,ICMP,,,98,1783730924.4839869
10.193.15.238,51.116.253.168,TCP,443,PA,184,1783730925.0584917
10.193.15.238,51.116.253.168,TCP,443,A,1454,1783730925.0586367
10.193.15.238,51.116.253.168,TCP,443,PA,1454,1783730925.0586522
10.193.15.238,51.116.253.168,TCP,443,A,1454,1783730925.05867
10.193.15.238,51.116.253.168,TCP,443,PA,1454,1783730925.0586748
10.193.15.238,51.116.253.168,TCP,443,A,1454,1783730925.0591161
10.193.15.238,51.116.253.168,TCP,443,PA,1323,1783730925.05913
51.116.253.168,10.193.15.238,TCP,49700,A,66,1783730925.2308083
51.116.253.168,10.193.15.238,TCP,49700,A,66,1783730925.2308342
51.116.253.168,10.193.15.238,TCP,49700,A,66,1783730925.231068
51.116.253.168,10.193.15.238,TCP,49700,PA,165,1783730925.3468983
10.193.15.238,51.116.253.168,TCP,443,A,66,1783730925.346968
10.193.15.238,51.116.253.168,TCP,443,PA,101,1783730925.3518388
